% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
3363	0	4	4	337	8	337	1	41	6	1	33	0	255	10	37	0	16	255	0
3396	0	1	1	341	1	341	1	35	6	1	32	0	255	10	19	0	16	255	0
3399	0	1	1	341	4	341	1	35	6	1	4	0	255	10	19	0	16	255	0
3402	0	2	2	341	7	341	1	118	6	1	14	0	255	10	26	0	16	255	0
3403	0	2	2	341	8	341	1	118	6	1	42	0	255	10	26	0	16	255	0
3441	0	1	1	345	6	345	1	125	6	1	15	0	255	10	30	0	16	255	0
3441	0	2	2	345	6	345	1	173	6	1	21	0	255	10	25	0	16	255	0
3442	0	2	2	345	7	345	1	173	6	1	49	0	255	10	25	0	16	255	0
3443	0	1	1	345	8	345	1	125	6	1	43	0	255	10	30	0	16	255	0
3481	0	2	2	349	6	349	1	125	6	1	15	0	255	10	1	0	16	255	0
3482	0	1	1	349	7	349	1	55	6	1	34	0	255	10	1	0	16	255	0
3483	0	1	1	349	8	349	1	55	6	1	6	0	255	10	1	0	16	255	0
3483	0	2	2	349	8	349	1	125	6	1	43	0	255	10	1	0	16	255	0
3517	0	2	2	353	2	353	1	106	6	1	41	0	255	10	6	0	16	255	0
3518	0	1	1	353	3	353	1	26	6	1	3	0	255	10	30	0	16	255	0
3518	0	2	2	353	3	353	1	106	6	1	13	0	255	10	6	0	16	255	0
3518	0	5	5	353	3	353	1	82	6	1	10	0	255	10	24	0	16	255	0
3522	0	1	1	353	7	353	1	26	6	1	31	0	255	10	30	0	16	255	0
3522	0	5	5	353	7	353	1	82	6	1	38	0	255	10	24	0	16	255	0
3560	0	1	1	357	5	357	1	53	6	1	34	0	255	10	24	0	16	255	0
3560	0	2	2	357	5	357	1	102	6	1	40	0	255	10	33	0	16	255	0
3561	0	1	1	357	6	357	1	53	6	1	6	0	255	10	24	0	16	255	0
3562	0	2	2	357	7	357	1	102	6	1	12	0	255	10	33	0	16	255	0
3597	0	2	2	361	2	361	1	92	6	1	39	0	255	10	7	0	16	255	0
3598	0	1	1	361	3	361	1	170	6	1	21	0	255	10	12	0	16	255	0
3599	0	1	1	361	4	361	1	170	6	1	49	0	255	10	12	0	16	255	0
3600	0	2	2	361	5	361	1	92	6	1	11	0	255	10	7	0	16	255	0
3636	0	1	1	365	1	365	1	49	6	1	34	0	255	10	37	0	16	255	0
3637	0	1	1	365	2	365	1	49	6	1	6	0	255	10	37	0	16	255	0
3637	0	2	2	365	2	365	1	89	6	1	11	0	255	10	32	0	16	255	0
3642	0	2	2	365	7	365	1	89	6	1	39	0	255	10	32	0	16	255	0
3677	0	1	1	369	2	369	1	129	6	1	16	0	255	10	30	0	16	255	0
3679	0	2	2	369	4	369	1	139	6	1	17	0	255	10	36	0	16	255	0
3680	0	1	1	369	5	369	1	129	6	1	44	0	255	10	30	0	16	255	0
