% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3136	0	4	2	0	16	389	1	0	0	0.531411
3136	0	5	1	0	16	389	1	0	0	0.16486
3136	0	5	2	0	16	389	1	0	0	0.364577
3144	0	3	1	0	16	389	2	0	1	1.71295
3144	0	3	2	0	16	389	2	0	1	5.52155
3144	0	4	1	0	16	389	2	0	0	0.364577
3144	0	4	2	0	16	389	2	0	0	0.531411
3144	0	5	1	0	16	389	2	0	0	0.16486
3144	0	5	2	0	16	389	2	0	0	0.364577
3152	0	3	1	0	16	389	3	0	1	1.71295
3152	0	3	2	0	16	389	3	0	1	5.52155
3152	0	4	1	0	16	389	3	0	0	0.364577
3152	0	4	2	0	16	389	3	0	0	0.531411
3152	0	5	1	0	16	389	3	0	0	0.16486
3152	0	5	2	0	16	389	3	0	0	0.364577
3168	0	3	1	0	16	389	0	1	0	1.12428
3168	0	3	2	0	16	389	0	1	0	4.4022
3168	0	4	1	0	16	389	0	1	0	0.332746
3168	0	4	2	0	16	389	0	1	0	0.497734
3168	0	5	1	0	16	389	0	1	0	0.154412
3168	0	5	2	0	16	389	0	1	0	0.35335
3176	0	3	1	0	16	389	1	0	0	1.12428
3176	0	3	2	0	16	389	1	0	0	4.4022
3176	0	4	1	0	16	389	1	0	0	0.332746
3176	0	4	2	0	16	389	1	0	0	0.497734
3176	0	5	1	0	16	389	1	0	0	0.154412
3176	0	5	2	0	16	389	1	0	0	0.35335
3184	0	3	1	0	16	389	2	0	0	1.12428
3184	0	3	2	0	16	389	2	0	0	4.4022
3184	0	4	1	0	16	389	2	0	0	0.332746
3184	0	4	2	0	16	389	2	0	0	0.497734
3184	0	5	1	0	16	389	2	0	0	0.154412
3184	0	5	2	0	16	389	2	0	0	0.35335
3192	0	3	1	0	16	389	3	0	0	1.12428
3192	0	3	2	0	16	389	3	0	0	4.4022
3192	0	4	1	0	16	389	3	0	0	0.332746
3192	0	4	2	0	16	389	3	0	0	0.497734
3192	0	5	1	0	16	389	3	0	0	0.154412
3192	0	5	2	0	16	389	3	0	0	0.35335
3208	0	3	1	0	16	389	0	1	0	1.24201
3208	0	3	2	0	16	389	0	1	0	4.62607
3208	0	4	1	0	16	389	0	1	0	0.339113
3208	0	4	2	0	16	389	0	1	0	0.504469
3208	0	5	1	0	16	389	0	1	0	0.156502
3208	0	5	2	0	16	389	0	1	0	0.355595
3216	0	3	1	0	16	389	1	0	0	1.24201
3216	0	3	2	0	16	389	1	0	0	4.62607
3216	0	4	1	0	16	389	1	0	0	0.339113
3216	0	4	2	0	16	389	1	0	0	0.504469
3216	0	5	1	0	16	389	1	0	0	0.156502
3216	0	5	2	0	16	389	1	0	0	0.355595
3224	0	3	1	0	16	389	2	0	0	1.24201
3224	0	3	2	0	16	389	2	0	0	4.62607
3224	0	4	1	0	16	389	2	0	0	0.339113
3224	0	4	2	0	16	389	2	0	0	0.504469
3224	0	5	1	0	16	389	2	0	0	0.156502
3224	0	5	2	0	16	389	2	0	0	0.355595
3232	0	3	1	0	16	389	3	0	0	1.24201
3232	0	3	2	0	16	389	3	0	0	4.62607
3232	0	4	1	0	16	389	3	0	0	0.339113
3232	0	4	2	0	16	389	3	0	0	0.504469
3232	0	5	1	0	16	389	3	0	0	0.156502
3232	0	5	2	0	16	389	3	0	0	0.355595
3248	0	4	1	0	16	389	0	1	0	0.364577
3248	0	4	2	0	16	389	0	1	0	0.531411
3248	0	4	3	0	16	389	0	1	1	5.52155
3248	0	5	1	0	16	389	0	1	0	0.16486
3248	0	5	2	0	16	389	0	1	0	0.364577
3248	0	5	3	0	16	389	0	1	0	1.71295
3256	0	4	1	0	16	389	1	0	0	0.364577
3256	0	4	2	0	16	389	1	0	0	0.531411
